iter	Passed	Remaining
455	645	2184
456	646	2181
457	647	2180
458	649	2179
459	650	2177
460	651	2175
461	653	2174
462	654	2172
463	655	2171
464	657	2169
465	658	2167
466	659	2165
467	661	2164
468	662	2162
469	663	2161
470	665	2159
471	666	2158
472	667	2156
473	669	2155
474	671	2154
475	672	2152
476	673	2151
477	675	2149
478	676	2148
479	677	2146
480	679	2145
481	680	2143
482	682	2142
483	684	2143
484	685	2142
485	687	2141
486	688	2139
487	690	2138
488	691	2137
489	693	2136
490	694	2135
491	696	2134
492	698	2133
493	699	2132
494	700	2130
495	701	2128
496	703	2126
497	704	2124
498	705	2122
499	706	2120
500	708	2119
501	709	2117
502	711	2116
503	712	2114
504	713	2113
505	715	2111
506	716	2110
507	718	2109
508	719	2108
509	721	2106
510	723	2108
511	725	2109
512	727	2108
513	728	2107
514	730	2105
515	731	2104
516	733	2103
517	735	2103
518	736	2102
519	738	2101
520	739	2100
521	741	2099
522	743	2099
523	745	2098
524	746	2097
525	748	2096
526	749	2095
527	751	2094
528	752	2093
529	754	2092
530	758	2099
531	760	2098
532	762	2097
533	764	2097
534	765	2097
535	767	2096
536	769	2096
537	771	2095
538	773	2096
539	775	2096
540	776	2094
541	777	2092
542	780	2094
543	782	2093
544	783	2091
545	784	2090
546	786	2088
547	787	2086
548	788	2084
549	790	2082
550	791	2080
551	792	2078
552	793	2077
553	795	2075
554	796	2073
555	797	2072
556	799	2070
557	800	2069
558	801	2067
559	803	2065
560	804	2063
561	805	2061
562	806	2059
563	808	2058
564	809	2056
565	811	2055
566	812	2053
567	813	2051
568	815	2049
569	816	2048
570	817	2045
571	818	2043
572	819	2041
573	821	2040
574	822	2039
575	824	2037
576	826	2037
577	827	2036
578	829	2035
579	830	2033
580	832	2032
581	833	2031
582	834	2029
583	836	2028
584	837	2026
585	839	2025
586	840	2024
587	842	2023
588	843	2021
589	845	2019
590	846	2018
591	847	2016
592	851	2020
593	853	2019
594	854	2018
595	856	2016
596	857	2015
597	858	2013
598	860	2012
599	861	2011
600	863	2009
601	864	2008
602	866	2007
603	867	2005
604	869	2004
605	870	2002
606	871	2000
607	873	1999
608	874	1997
609	876	1996
610	877	1995
611	879	1994
612	880	1993
613	882	1992
614	884	1991
615	885	1990
616	887	1988
617	888	1987
618	890	1986
619	892	1986
620	894	1985
621	895	1984
622	897	1982
623	898	1981
624	900	1980
625	901	1978
626	903	1978
627	906	1980
628	908	1979
629	909	1978
630	911	1976
631	912	1975
632	914	1973
633	915	1972
634	916	1970
635	918	1969
636	919	1968
637	921	1966
638	922	1965
639	924	1964
640	926	1963
641	927	1962
642	929	1960
643	930	1959
644	932	1958
645	933	1957
646	935	1956
647	937	1955
648	938	1953
649	939	1952
650	941	1950
651	942	1949
652	944	1948
653	945	1946
654	947	1945
655	949	1944
656	950	1943
657	952	1941
658	953	1939
659	954	1938
660	955	1936
661	957	1934
662	958	1932
663	959	1931
664	961	1930
665	963	1928
666	964	1927
667	965	1925
668	966	1923
669	968	1921
670	969	1920
671	971	1918
672	972	1917
673	973	1916
674	975	1914
675	977	1913
676	978	1912
677	979	1910
678	981	1908
679	982	1907
680	983	1905
681	985	1904
682	986	1902
683	988	1901
684	989	1900
685	991	1898
686	992	1897
687	994	1895
688	995	1893
689	996	1891
690	997	1889
691	998	1888
692	1000	1886
693	1001	1885
694	1003	1883
695	1004	1882
696	1006	1880
697	1007	1879
698	1008	1877
699	1010	1875
700	1011	1873
701	1012	1872
702	1013	1870
703	1015	1868
704	1016	1867
705	1018	1866
706	1019	1865
707	1021	1863
708	1022	1862
709	1024	1861
